id,title,description,course_id,created_by,created_at
27,Learn Spanish - Beginner - Quiz 1,Assessment quiz for Learn Spanish - Beginner,11,1060,2025-09-25 17:30:17
28,Learn Spanish - Beginner - Quiz 2,Assessment quiz for Learn Spanish - Beginner,11,1060,2025-10-01 17:30:17
29,Learn Spanish - Beginner - Quiz 3,Assessment quiz for Learn Spanish - Beginner,11,1060,2025-09-25 17:30:17
30,IoT Fundamentals - Quiz 1,Assessment quiz for IoT Fundamentals,13,1296,2025-10-07 17:38:33
31,IoT Fundamentals - Quiz 2,Assessment quiz for IoT Fundamentals,13,1296,2025-09-21 17:38:33
32,IoT Fundamentals - Quiz 3,Assessment quiz for IoT Fundamentals,13,1296,2025-09-18 17:38:33
33,Complete Test Prep Course - Quiz 1,Assessment quiz for Complete Test Prep Course,14,266,2025-10-01 17:28:48
34,Chinese for Travelers - Quiz 1,Assessment quiz for Chinese for Travelers,15,375,2025-09-30 17:31:43
35,Chinese for Travelers - Quiz 2,Assessment quiz for Chinese for Travelers,15,375,2025-10-09 17:31:43
36,Chinese for Travelers - Quiz 3,Assessment quiz for Chinese for Travelers,15,375,2025-09-17 17:31:43
37,Professional Goal Setting - Quiz 1,Assessment quiz for Professional Goal Setting,16,298,2025-09-27 17:32:05
38,Professional Goal Setting - Quiz 2,Assessment quiz for Professional Goal Setting,16,298,2025-10-03 17:32:05
39,UI/UX for Professionals - Quiz 1,Assessment quiz for UI/UX for Professionals,17,1095,2025-09-13 17:29:12
40,UI/UX for Professionals - Quiz 2,Assessment quiz for UI/UX for Professionals,17,1095,2025-10-11 17:29:12
41,UI/UX for Professionals - Quiz 3,Assessment quiz for UI/UX for Professionals,17,1095,2025-10-03 17:29:12
42,Professional Career - Quiz 1,Assessment quiz for Professional Career,18,1967,2025-09-22 17:27:33
43,Professional Career - Quiz 2,Assessment quiz for Professional Career,18,1967,2025-09-26 17:27:33
44,Professional Career - Quiz 3,Assessment quiz for Professional Career,18,1967,2025-09-23 17:27:33
45,Music Theory History - Quiz 1,Assessment quiz for Music Theory History,19,343,2025-09-27 17:32:55
46,Music Theory History - Quiz 2,Assessment quiz for Music Theory History,19,343,2025-09-14 17:32:55
47,Music Theory History - Quiz 3,Assessment quiz for Music Theory History,19,343,2025-09-16 17:32:55
48,Music Theory History - Quiz 4,Assessment quiz for Music Theory History,19,343,2025-10-05 17:32:55
49,Creative Typography Workshop - Quiz 1,Assessment quiz for Creative Typography Workshop,20,611,2025-10-07 17:31:29
50,Creative Typography Workshop - Quiz 2,Assessment quiz for Creative Typography Workshop,20,611,2025-09-17 17:31:29
51,Creative Typography Workshop - Quiz 3,Assessment quiz for Creative Typography Workshop,20,611,2025-10-04 17:31:29
52,Creative Typography Workshop - Quiz 4,Assessment quiz for Creative Typography Workshop,20,611,2025-10-02 17:31:29
53,Professional Mental Health - Quiz 1,Assessment quiz for Professional Mental Health,21,1162,2025-10-11 17:27:34
54,Professional Mental Health - Quiz 2,Assessment quiz for Professional Mental Health,21,1162,2025-09-30 17:27:34
55,Professional Mental Health - Quiz 3,Assessment quiz for Professional Mental Health,21,1162,2025-09-29 17:27:34
56,Professional Mental Health - Quiz 4,Assessment quiz for Professional Mental Health,21,1162,2025-10-05 17:27:34
57,Professional Mental Health - Quiz 5,Assessment quiz for Professional Mental Health,21,1162,2025-10-08 17:27:34
58,Advanced Mental Health - Quiz 1,Assessment quiz for Advanced Mental Health,22,972,2025-10-11 17:32:28
59,Advanced Mental Health - Quiz 2,Assessment quiz for Advanced Mental Health,22,972,2025-09-30 17:32:28
60,Advanced Mental Health - Quiz 3,Assessment quiz for Advanced Mental Health,22,972,2025-09-22 17:32:28
61,Advanced Time Management - Quiz 1,Assessment quiz for Advanced Time Management,23,1387,2025-10-04 17:38:42
62,Advanced Time Management - Quiz 2,Assessment quiz for Advanced Time Management,23,1387,2025-09-15 17:38:42
63,Advanced Time Management - Quiz 3,Assessment quiz for Advanced Time Management,23,1387,2025-09-25 17:38:42
64,Advanced Time Management - Quiz 4,Assessment quiz for Advanced Time Management,23,1387,2025-10-08 17:38:42
65,Advanced Time Management - Quiz 5,Assessment quiz for Advanced Time Management,23,1387,2025-09-24 17:38:42
66,Sales Strategy - Quiz 1,Assessment quiz for Sales Strategy,24,1887,2025-10-10 17:35:04
67,Sales Strategy - Quiz 2,Assessment quiz for Sales Strategy,24,1887,2025-09-22 17:35:04
68,Sales Strategy - Quiz 3,Assessment quiz for Sales Strategy,24,1887,2025-10-01 17:35:04
69,Sales Strategy - Quiz 4,Assessment quiz for Sales Strategy,24,1887,2025-09-15 17:35:04
70,Sales Strategy - Quiz 5,Assessment quiz for Sales Strategy,24,1887,2025-10-11 17:35:04
71,Introduction to Blockchain - Quiz 1,Assessment quiz for Introduction to Blockchain,26,1251,2025-09-22 17:30:02
72,Introduction to Blockchain - Quiz 2,Assessment quiz for Introduction to Blockchain,26,1251,2025-09-16 17:30:02
73,Introduction to Blockchain - Quiz 3,Assessment quiz for Introduction to Blockchain,26,1251,2025-09-25 17:30:02
74,Master Machine Learning - Quiz 1,Assessment quiz for Master Machine Learning,27,1938,2025-10-09 17:35:30
75,Master Machine Learning - Quiz 2,Assessment quiz for Master Machine Learning,27,1938,2025-10-11 17:35:30
76,Master Machine Learning - Quiz 3,Assessment quiz for Master Machine Learning,27,1938,2025-09-25 17:35:30
77,Master Machine Learning - Quiz 4,Assessment quiz for Master Machine Learning,27,1938,2025-09-13 17:35:30
78,Master Machine Learning - Quiz 5,Assessment quiz for Master Machine Learning,27,1938,2025-09-24 17:35:30
79,Modern Painting Techniques - Quiz 1,Assessment quiz for Modern Painting Techniques,28,175,2025-09-24 17:27:27
80,Modern Painting Techniques - Quiz 2,Assessment quiz for Modern Painting Techniques,28,175,2025-10-09 17:27:27
81,Data Science Laboratory - Quiz 1,Assessment quiz for Data Science Laboratory,29,996,2025-09-20 17:25:47
82,Data Science Laboratory - Quiz 2,Assessment quiz for Data Science Laboratory,29,996,2025-10-03 17:25:47
83,Data Science Laboratory - Quiz 3,Assessment quiz for Data Science Laboratory,29,996,2025-10-04 17:25:47
84,Data Science Laboratory - Quiz 4,Assessment quiz for Data Science Laboratory,29,996,2025-09-21 17:25:47
85,Career Workshop - Quiz 1,Assessment quiz for Career Workshop,31,436,2025-10-01 17:27:31
86,Career Workshop - Quiz 2,Assessment quiz for Career Workshop,31,436,2025-10-06 17:27:31
87,Career Workshop - Quiz 3,Assessment quiz for Career Workshop,31,436,2025-09-29 17:27:31
88,Career Workshop - Quiz 4,Assessment quiz for Career Workshop,31,436,2025-10-07 17:27:31
89,Career Workshop - Quiz 5,Assessment quiz for Career Workshop,31,436,2025-09-23 17:27:31
90,Productivity Workshop - Quiz 1,Assessment quiz for Productivity Workshop,32,1949,2025-09-19 17:33:22
91,Advanced Cloud Computing - Quiz 1,Assessment quiz for Advanced Cloud Computing,33,1095,2025-09-29 17:31:59
92,Applied Chemistry - Quiz 1,Assessment quiz for Applied Chemistry,34,474,2025-09-29 17:28:00
93,Applied Chemistry - Quiz 2,Assessment quiz for Applied Chemistry,34,474,2025-10-02 17:28:00
94,Critical Thinking Fundamentals - Quiz 1,Assessment quiz for Critical Thinking Fundamentals,35,1949,2025-09-21 17:36:49
95,Critical Thinking Fundamentals - Quiz 2,Assessment quiz for Critical Thinking Fundamentals,35,1949,2025-09-21 17:36:49
96,Finance for Entrepreneurs - Quiz 1,Assessment quiz for Finance for Entrepreneurs,36,1416,2025-10-06 17:38:47
97,Finance for Entrepreneurs - Quiz 2,Assessment quiz for Finance for Entrepreneurs,36,1416,2025-10-09 17:38:47
98,Finance for Entrepreneurs - Quiz 3,Assessment quiz for Finance for Entrepreneurs,36,1416,2025-10-09 17:38:47
99,Finance for Entrepreneurs - Quiz 4,Assessment quiz for Finance for Entrepreneurs,36,1416,2025-09-14 17:38:47
100,Finance for Entrepreneurs - Quiz 5,Assessment quiz for Finance for Entrepreneurs,36,1416,2025-09-13 17:38:47
101,Graphic Design for Professionals - Quiz 1,Assessment quiz for Graphic Design for Professionals,37,158,2025-10-09 17:26:57
102,Graphic Design for Professionals - Quiz 2,Assessment quiz for Graphic Design for Professionals,37,158,2025-09-15 17:26:57
103,Graphic Design for Professionals - Quiz 3,Assessment quiz for Graphic Design for Professionals,37,158,2025-10-12 17:26:57
104,Graphic Design for Professionals - Quiz 4,Assessment quiz for Graphic Design for Professionals,37,158,2025-09-23 17:26:57
105,Graphic Design for Professionals - Quiz 5,Assessment quiz for Graphic Design for Professionals,37,158,2025-10-10 17:26:57
106,Professional AI - Quiz 1,Assessment quiz for Professional AI,38,828,2025-09-18 17:25:02
107,Professional AI - Quiz 2,Assessment quiz for Professional AI,38,828,2025-09-18 17:25:02
108,Professional AI - Quiz 3,Assessment quiz for Professional AI,38,828,2025-09-15 17:25:02
109,Creative Drawing Workshop - Quiz 1,Assessment quiz for Creative Drawing Workshop,39,1641,2025-10-08 17:30:58
110,Creative Drawing Workshop - Quiz 2,Assessment quiz for Creative Drawing Workshop,39,1641,2025-09-22 17:30:58
111,Creative Drawing Workshop - Quiz 3,Assessment quiz for Creative Drawing Workshop,39,1641,2025-09-19 17:30:58
112,Creative Drawing Workshop - Quiz 4,Assessment quiz for Creative Drawing Workshop,39,1641,2025-10-05 17:30:58
113,Creative Drawing Workshop - Quiz 5,Assessment quiz for Creative Drawing Workshop,39,1641,2025-10-09 17:30:58
114,Professional Nutrition - Quiz 1,Assessment quiz for Professional Nutrition,41,411,2025-09-19 17:28:03
115,Professional Nutrition - Quiz 2,Assessment quiz for Professional Nutrition,41,411,2025-10-04 17:28:03
116,Advanced Sales - Quiz 1,Assessment quiz for Advanced Sales,42,1620,2025-09-28 17:32:32
117,Professional Node.js - Quiz 1,Assessment quiz for Professional Node.js,43,1558,2025-10-11 17:27:16
118,Professional Node.js - Quiz 2,Assessment quiz for Professional Node.js,43,1558,2025-09-29 17:27:16
119,Professional Node.js - Quiz 3,Assessment quiz for Professional Node.js,43,1558,2025-09-27 17:27:16
120,Film History - Quiz 1,Assessment quiz for Film History,45,486,2025-10-10 17:33:49
121,Film History - Quiz 2,Assessment quiz for Film History,45,486,2025-10-05 17:33:49
122,Film History - Quiz 3,Assessment quiz for Film History,45,486,2025-10-08 17:33:49
123,DevOps Implementation - Quiz 1,Assessment quiz for DevOps Implementation,46,1709,2025-09-19 17:29:25
124,DevOps Implementation - Quiz 2,Assessment quiz for DevOps Implementation,46,1709,2025-09-21 17:29:25
125,DevOps Implementation - Quiz 3,Assessment quiz for DevOps Implementation,46,1709,2025-10-08 17:29:25
126,Creative Music Theory Workshop - Quiz 1,Assessment quiz for Creative Music Theory Workshop,47,1952,2025-09-16 17:34:24
127,Introduction to C++ - Quiz 1,Assessment quiz for Introduction to C++,49,1033,2025-10-09 17:30:16
128,Advanced Logic - Quiz 1,Assessment quiz for Advanced Logic,50,1938,2025-10-03 17:36:42
129,Advanced Logic - Quiz 2,Assessment quiz for Advanced Logic,50,1938,2025-09-22 17:36:42
130,Advanced Logic - Quiz 3,Assessment quiz for Advanced Logic,50,1938,2025-10-01 17:36:42
131,Advanced Logic - Quiz 4,Assessment quiz for Advanced Logic,50,1938,2025-10-03 17:36:42
132,Professional IoT - Quiz 1,Assessment quiz for Professional IoT,51,1469,2025-09-17 17:32:41
133,Learn Japanese - Beginner - Quiz 1,Assessment quiz for Learn Japanese - Beginner,53,451,2025-10-11 17:29:43
134,Learn Japanese - Beginner - Quiz 2,Assessment quiz for Learn Japanese - Beginner,53,451,2025-09-28 17:29:43
135,Learn Japanese - Beginner - Quiz 3,Assessment quiz for Learn Japanese - Beginner,53,451,2025-09-19 17:29:43
136,Communication Workshop - Quiz 1,Assessment quiz for Communication Workshop,54,1750,2025-10-01 17:23:29
137,Communication Workshop - Quiz 2,Assessment quiz for Communication Workshop,54,1750,2025-09-27 17:23:29
138,Communication Workshop - Quiz 3,Assessment quiz for Communication Workshop,54,1750,2025-10-03 17:23:29
139,Cloud Computing Implementation - Quiz 1,Assessment quiz for Cloud Computing Implementation,55,714,2025-09-30 17:29:39
140,Cloud Computing Implementation - Quiz 2,Assessment quiz for Cloud Computing Implementation,55,714,2025-10-08 17:29:39
141,Biology Fundamentals - Quiz 1,Assessment quiz for Biology Fundamentals,56,1510,2025-09-22 17:25:16
142,Cybersecurity Best Practices - Quiz 1,Assessment quiz for Cybersecurity Best Practices,57,1311,2025-09-26 17:33:53
143,Cybersecurity Best Practices - Quiz 2,Assessment quiz for Cybersecurity Best Practices,57,1311,2025-09-27 17:33:53
144,Cybersecurity Best Practices - Quiz 3,Assessment quiz for Cybersecurity Best Practices,57,1311,2025-09-22 17:33:53
145,Cybersecurity Best Practices - Quiz 4,Assessment quiz for Cybersecurity Best Practices,57,1311,2025-09-26 17:33:53
146,Research Methods Fundamentals - Quiz 1,Assessment quiz for Research Methods Fundamentals,58,1524,2025-10-02 17:34:27
147,Research Methods Fundamentals - Quiz 2,Assessment quiz for Research Methods Fundamentals,58,1524,2025-10-12 17:34:27
148,Research Methods Fundamentals - Quiz 3,Assessment quiz for Research Methods Fundamentals,58,1524,2025-09-20 17:34:27
149,Complete Logic Course - Quiz 1,Assessment quiz for Complete Logic Course,59,1387,2025-09-24 17:21:08
150,Complete Logic Course - Quiz 2,Assessment quiz for Complete Logic Course,59,1387,2025-09-16 17:21:08
151,Advanced Nutrition - Quiz 1,Assessment quiz for Advanced Nutrition,60,619,2025-09-22 17:23:18
152,Advanced Nutrition - Quiz 2,Assessment quiz for Advanced Nutrition,60,619,2025-10-08 17:23:18
153,Advanced Nutrition - Quiz 3,Assessment quiz for Advanced Nutrition,60,619,2025-10-01 17:23:18
154,Advanced Nutrition - Quiz 4,Assessment quiz for Advanced Nutrition,60,619,2025-10-02 17:23:18
155,React Bootcamp - Quiz 1,Assessment quiz for React Bootcamp,61,1588,2025-09-28 17:27:28
156,React Bootcamp - Quiz 2,Assessment quiz for React Bootcamp,61,1588,2025-09-21 17:27:28
157,React Bootcamp - Quiz 3,Assessment quiz for React Bootcamp,61,1588,2025-09-18 17:27:28
158,React Bootcamp - Quiz 4,Assessment quiz for React Bootcamp,61,1588,2025-09-28 17:27:28
159,React Bootcamp - Quiz 5,Assessment quiz for React Bootcamp,61,1588,2025-10-03 17:27:28
160,Typography Design Principles - Quiz 1,Assessment quiz for Typography Design Principles,62,1607,2025-10-11 17:29:43
161,Nutrition Essentials - Quiz 1,Assessment quiz for Nutrition Essentials,63,1351,2025-10-05 17:37:55
162,Japanese Conversation - Quiz 1,Assessment quiz for Japanese Conversation,64,136,2025-10-02 17:36:33
163,Japanese Conversation - Quiz 2,Assessment quiz for Japanese Conversation,64,136,2025-09-27 17:36:33
164,Japanese Conversation - Quiz 3,Assessment quiz for Japanese Conversation,64,136,2025-10-06 17:36:33
165,Japanese Conversation - Quiz 4,Assessment quiz for Japanese Conversation,64,136,2025-09-18 17:36:33
166,Japanese Conversation - Quiz 5,Assessment quiz for Japanese Conversation,64,136,2025-10-08 17:36:33
167,Advanced German - Quiz 1,Assessment quiz for Advanced German,65,2106,2025-10-10 17:30:29
168,Advanced German - Quiz 2,Assessment quiz for Advanced German,65,2106,2025-10-02 17:30:29
169,Complete Node.js Guide - Quiz 1,Assessment quiz for Complete Node.js Guide,66,266,2025-10-12 17:38:28
170,Complete Node.js Guide - Quiz 2,Assessment quiz for Complete Node.js Guide,66,266,2025-10-09 17:38:28
171,Complete Node.js Guide - Quiz 3,Assessment quiz for Complete Node.js Guide,66,266,2025-10-04 17:38:28
172,Complete Node.js Guide - Quiz 4,Assessment quiz for Complete Node.js Guide,66,266,2025-09-23 17:38:28
173,Complete Node.js Guide - Quiz 5,Assessment quiz for Complete Node.js Guide,66,266,2025-09-29 17:38:28
174,Fitness for Beginners - Quiz 1,Assessment quiz for Fitness for Beginners,67,113,2025-10-01 17:35:23
175,Fitness for Beginners - Quiz 2,Assessment quiz for Fitness for Beginners,67,113,2025-10-11 17:35:23
176,Fitness for Beginners - Quiz 3,Assessment quiz for Fitness for Beginners,67,113,2025-09-29 17:35:23
177,Fitness for Beginners - Quiz 4,Assessment quiz for Fitness for Beginners,67,113,2025-09-14 17:35:23
178,Introduction to AI - Quiz 1,Assessment quiz for Introduction to AI,68,1645,2025-09-26 17:27:49
179,Introduction to AI - Quiz 2,Assessment quiz for Introduction to AI,68,1645,2025-09-26 17:27:49
180,Introduction to AI - Quiz 3,Assessment quiz for Introduction to AI,68,1645,2025-09-24 17:27:49
181,Introduction to AI - Quiz 4,Assessment quiz for Introduction to AI,68,1645,2025-09-23 17:27:49
182,Advanced Fitness - Quiz 1,Assessment quiz for Advanced Fitness,69,453,2025-09-21 17:30:06
183,Advanced Fitness - Quiz 2,Assessment quiz for Advanced Fitness,69,453,2025-09-29 17:30:06
184,Typography Design Principles - Quiz 1,Assessment quiz for Typography Design Principles,70,1264,2025-09-24 17:22:46
185,Typography Design Principles - Quiz 2,Assessment quiz for Typography Design Principles,70,1264,2025-09-20 17:22:46
186,Typography Design Principles - Quiz 3,Assessment quiz for Typography Design Principles,70,1264,2025-09-14 17:22:46
187,Typography Design Principles - Quiz 4,Assessment quiz for Typography Design Principles,70,1264,2025-09-20 17:22:46
188,Typography Design Principles - Quiz 5,Assessment quiz for Typography Design Principles,70,1264,2025-09-22 17:22:46
189,Effective Career - Quiz 1,Assessment quiz for Effective Career,71,1346,2025-09-30 17:35:37
190,Effective Career - Quiz 2,Assessment quiz for Effective Career,71,1346,2025-10-10 17:35:37
191,Effective Career - Quiz 3,Assessment quiz for Effective Career,71,1346,2025-09-26 17:35:37
192,Effective Career - Quiz 4,Assessment quiz for Effective Career,71,1346,2025-10-09 17:35:37
193,Creative Logo Design Workshop - Quiz 1,Assessment quiz for Creative Logo Design Workshop,72,1340,2025-09-19 17:37:44
194,Creative Logo Design Workshop - Quiz 2,Assessment quiz for Creative Logo Design Workshop,72,1340,2025-09-13 17:37:44
195,Creative Logo Design Workshop - Quiz 3,Assessment quiz for Creative Logo Design Workshop,72,1340,2025-09-21 17:37:44
196,Creative Logo Design Workshop - Quiz 4,Assessment quiz for Creative Logo Design Workshop,72,1340,2025-10-09 17:37:44
197,Effective Mindfulness - Quiz 1,Assessment quiz for Effective Mindfulness,73,229,2025-10-12 17:24:43
198,Painting Basics - Quiz 1,Assessment quiz for Painting Basics,75,1917,2025-09-14 17:35:57
199,Logic Mastery - Quiz 1,Assessment quiz for Logic Mastery,76,628,2025-09-24 17:34:14
200,Logic Mastery - Quiz 2,Assessment quiz for Logic Mastery,76,628,2025-09-19 17:34:14
201,Logic Mastery - Quiz 3,Assessment quiz for Logic Mastery,76,628,2025-09-25 17:34:14
202,Logic Mastery - Quiz 4,Assessment quiz for Logic Mastery,76,628,2025-09-24 17:34:14
203,Logic Mastery - Quiz 5,Assessment quiz for Logic Mastery,76,628,2025-10-09 17:34:14
204,Communication Workshop - Quiz 1,Assessment quiz for Communication Workshop,78,1919,2025-09-28 17:25:06
205,Communication Workshop - Quiz 2,Assessment quiz for Communication Workshop,78,1919,2025-09-19 17:25:06
206,Communication Workshop - Quiz 3,Assessment quiz for Communication Workshop,78,1919,2025-09-28 17:25:06
207,Communication Workshop - Quiz 4,Assessment quiz for Communication Workshop,78,1919,2025-09-18 17:25:06
208,Leadership for Entrepreneurs - Quiz 1,Assessment quiz for Leadership for Entrepreneurs,79,1065,2025-10-08 17:25:48
209,Leadership for Entrepreneurs - Quiz 2,Assessment quiz for Leadership for Entrepreneurs,79,1065,2025-09-18 17:25:48
210,Leadership for Entrepreneurs - Quiz 3,Assessment quiz for Leadership for Entrepreneurs,79,1065,2025-09-26 17:25:48
211,Leadership for Entrepreneurs - Quiz 4,Assessment quiz for Leadership for Entrepreneurs,79,1065,2025-09-29 17:25:48
212,Leadership for Entrepreneurs - Quiz 5,Assessment quiz for Leadership for Entrepreneurs,79,1065,2025-10-07 17:25:48
213,Chemistry Laboratory - Quiz 1,Assessment quiz for Chemistry Laboratory,80,1213,2025-09-25 17:27:12
214,Chemistry Laboratory - Quiz 2,Assessment quiz for Chemistry Laboratory,80,1213,2025-09-15 17:27:12
215,Chemistry Laboratory - Quiz 3,Assessment quiz for Chemistry Laboratory,80,1213,2025-10-05 17:27:12
216,Chemistry Laboratory - Quiz 4,Assessment quiz for Chemistry Laboratory,80,1213,2025-09-17 17:27:12
217,Introduction to Cloud Computing - Quiz 1,Assessment quiz for Introduction to Cloud Computing,81,946,2025-10-07 17:25:13
218,Introduction to Cloud Computing - Quiz 2,Assessment quiz for Introduction to Cloud Computing,81,946,2025-09-30 17:25:13
219,Introduction to Cloud Computing - Quiz 3,Assessment quiz for Introduction to Cloud Computing,81,946,2025-09-21 17:25:13
220,Introduction to Cloud Computing - Quiz 4,Assessment quiz for Introduction to Cloud Computing,81,946,2025-09-21 17:25:13
221,Introduction to Cloud Computing - Quiz 5,Assessment quiz for Introduction to Cloud Computing,81,946,2025-09-16 17:25:13
222,Introduction to Machine Learning - Quiz 1,Assessment quiz for Introduction to Machine Learning,82,1028,2025-09-17 17:33:22
223,Introduction to Machine Learning - Quiz 2,Assessment quiz for Introduction to Machine Learning,82,1028,2025-09-24 17:33:22
224,Introduction to Machine Learning - Quiz 3,Assessment quiz for Introduction to Machine Learning,82,1028,2025-09-20 17:33:22
225,Painting History - Quiz 1,Assessment quiz for Painting History,83,1666,2025-09-26 17:22:53
226,Painting History - Quiz 2,Assessment quiz for Painting History,83,1666,2025-09-13 17:22:53
227,Advanced Goal Setting - Quiz 1,Assessment quiz for Advanced Goal Setting,84,736,2025-10-12 17:22:26
228,Advanced Goal Setting - Quiz 2,Assessment quiz for Advanced Goal Setting,84,736,2025-09-30 17:22:26
229,Drawing History - Quiz 1,Assessment quiz for Drawing History,85,1524,2025-10-02 17:23:25
230,Drawing History - Quiz 2,Assessment quiz for Drawing History,85,1524,2025-09-13 17:23:25
231,Drawing History - Quiz 3,Assessment quiz for Drawing History,85,1524,2025-10-05 17:23:25
232,Drawing History - Quiz 4,Assessment quiz for Drawing History,85,1524,2025-09-30 17:23:25
233,Drawing Basics - Quiz 1,Assessment quiz for Drawing Basics,86,1704,2025-09-28 17:30:30
234,Drawing Basics - Quiz 2,Assessment quiz for Drawing Basics,86,1704,2025-09-28 17:30:30
235,Drawing Basics - Quiz 3,Assessment quiz for Drawing Basics,86,1704,2025-09-23 17:30:30
236,Drawing Basics - Quiz 4,Assessment quiz for Drawing Basics,86,1704,2025-10-09 17:30:30
237,Drawing Basics - Quiz 5,Assessment quiz for Drawing Basics,86,1704,2025-10-12 17:30:30
238,Nutrition Essentials - Quiz 1,Assessment quiz for Nutrition Essentials,87,1439,2025-09-30 17:24:42
239,Nutrition Essentials - Quiz 2,Assessment quiz for Nutrition Essentials,87,1439,2025-09-28 17:24:42
240,Nutrition Essentials - Quiz 3,Assessment quiz for Nutrition Essentials,87,1439,2025-09-19 17:24:42
241,Nutrition Essentials - Quiz 4,Assessment quiz for Nutrition Essentials,87,1439,2025-09-24 17:24:42
242,Advanced Biology - Quiz 1,Assessment quiz for Advanced Biology,88,1098,2025-10-10 17:30:11
243,Advanced Biology - Quiz 2,Assessment quiz for Advanced Biology,88,1098,2025-09-21 17:30:11
244,Advanced Biology - Quiz 3,Assessment quiz for Advanced Biology,88,1098,2025-10-08 17:30:11
245,Advanced Biology - Quiz 4,Assessment quiz for Advanced Biology,88,1098,2025-10-08 17:30:11
246,Advanced Biology - Quiz 5,Assessment quiz for Advanced Biology,88,1098,2025-09-22 17:30:11
247,Modern Painting Techniques - Quiz 1,Assessment quiz for Modern Painting Techniques,89,1803,2025-10-09 17:25:22
248,Modern Painting Techniques - Quiz 2,Assessment quiz for Modern Painting Techniques,89,1803,2025-09-20 17:25:22
249,Modern Painting Techniques - Quiz 3,Assessment quiz for Modern Painting Techniques,89,1803,2025-09-21 17:25:22
250,Modern Painting Techniques - Quiz 4,Assessment quiz for Modern Painting Techniques,89,1803,2025-09-18 17:25:22
251,Node.js Bootcamp - Quiz 1,Assessment quiz for Node.js Bootcamp,92,1373,2025-10-04 17:28:01
252,Node.js Bootcamp - Quiz 2,Assessment quiz for Node.js Bootcamp,92,1373,2025-09-24 17:28:01
253,Node.js Bootcamp - Quiz 3,Assessment quiz for Node.js Bootcamp,92,1373,2025-10-12 17:28:01
254,Node.js Bootcamp - Quiz 4,Assessment quiz for Node.js Bootcamp,92,1373,2025-09-20 17:28:01
255,Node.js Bootcamp - Quiz 5,Assessment quiz for Node.js Bootcamp,92,1373,2025-09-24 17:28:01
256,Professional Yoga - Quiz 1,Assessment quiz for Professional Yoga,94,387,2025-09-22 17:23:04
257,Professional Yoga - Quiz 2,Assessment quiz for Professional Yoga,94,387,2025-10-08 17:23:04
258,Professional Yoga - Quiz 3,Assessment quiz for Professional Yoga,94,387,2025-10-07 17:23:04
